munioz b roberto-SI, moreno r rafael-SI, frei r carmen-SI, fernandez f sergio-SI, novoa v jovino-SI, gazmuri m jaime-SI, ruiz d jose-SI, zaldivar l andres-SI, sabag c hosain-SI, ruiz-esquide j mariano-ABSTENCION, frei r eduardo-SI, bombal o carlos -SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-SI, vila c nelson-SI, parra m augusto-SI, canessa r julio-SI, zurita c enrique-SI, cordero r fernando-SI, aburto o marcos-SI, boeninger k edgardo-SI, espina o alberto-SI, orpis b jaime-NO, coloma c juan antonio-SI, rios s mario-SI, prokurica p baldo-NO, horvath k antonio-SI, __-SI
moreno r rafael-SI, frei r carmen-SI, arancibia r jorge-SI, fernandez f sergio-ABSTENCION, novoa v jovino-SI, viera-gallo q jose antonio-SI, naranjo o jaime-SI, ruiz d jose-SI, zaldivar l andres-SI, sabag c hosain-SI, bombal o carlos -SI, chadwick p andres-SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-SI, vila c nelson-ABSTENCION, parra m augusto-SI, martinez b jorge-SI, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, aburto o marcos-NO, romero p sergio-SI, garcia r jose-SI, orpis b jaime-SI, coloma c juan antonio-SI, rios s mario-SI, prokurica p baldo-SI, __-SI
munioz b roberto-SI, moreno r rafael-SI, frei r carmen-SI, arancibia r jorge-SI, fernandez f sergio-SI, novoa v jovino-SI, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, gazmuri m jaime-SI, ruiz d jose-SI, zaldivar l andres-SI, sabag c hosain-SI, bombal o carlos -SI, chadwick p andres-SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-SI, vila c nelson-ABSTENCION, parra m augusto-SI, martinez b jorge-SI, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, aburto o marcos-SI, romero p sergio-SI, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, coloma c juan antonio-SI, rios s mario-SI, prokurica p baldo-SI, __-SI
munioz b roberto-NO, moreno r rafael-NO, frei r carmen-NO, arancibia r jorge-NO, fernandez f sergio-NO, novoa v jovino-NO, nuniez m ricardo-NO, viera-gallo q jose antonio-NO, gazmuri m jaime-NO, naranjo o jaime-NO, ruiz d jose-NO, pizarro s jorge-NO, zaldivar l andres-NO, sabag c hosain-NO, cariola b marco-NO, matthei f evelyn-NO, stange o rodolfo-NO, vila c nelson-NO, parra m augusto-NO, martinez b jorge-NO, canessa r julio-NO, vega h ramon-NO, zurita c enrique-NO, cordero r fernando-NO, aburto o marcos-NO, boeninger k edgardo-NO, romero p sergio-NO, espina o alberto-NO, garcia r jose-NO, coloma c juan antonio-NO, cantero o carlos-NO, prokurica p baldo-NO, horvath k antonio-NO, __-NO
munioz b roberto-NO, flores l fernando-NO, moreno r rafael-SI, frei r carmen-SI, arancibia r jorge-SI, fernandez f sergio-NO, novoa v jovino-ABSTENCION, nuniez m ricardo-NO, viera-gallo q jose antonio-NO, gazmuri m jaime-NO, naranjo o jaime-NO, ruiz d jose-NO, pizarro s jorge-ABSTENCION, zaldivar l andres-SI, sabag c hosain-SI, bombal o carlos -SI, chadwick p andres-SI, stange o rodolfo-SI, vila c nelson-NO, parra m augusto-NO, martinez b jorge-SI, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, aburto o marcos-SI, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, coloma c juan antonio-SI, rios s mario-SI, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI
moreno r rafael-SI, frei r carmen-SI, valdes s gabriel-SI, arancibia r jorge-SI, fernandez f sergio-SI, nuniez m ricardo-SI, naranjo o jaime-SI, zaldivar l andres-SI, sabag c hosain-SI, paez v sergio-SI, ruiz-esquide j mariano-SI, frei r eduardo-SI, bombal o carlos -SI, cariola b marco-SI, parra m augusto-SI, martinez b jorge-SI, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, aburto o marcos-SI, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI
munioz b roberto-SI, foxley r alejandro-SI, moreno r rafael-SI, frei r carmen-ABSTENCION, arancibia r jorge-SI, fernandez f sergio-SI, nuniez m ricardo-SI, naranjo o jaime-SI, pizarro s jorge-SI, zaldivar l andres-SI, sabag c hosain-SI, paez v sergio-SI, ruiz-esquide j mariano-SI, frei r eduardo-SI, bombal o carlos -SI, stange o rodolfo-SI, parra m augusto-SI, martinez b jorge-NO, canessa r julio-NO, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-NO, aburto o marcos-SI, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, prokurica p baldo-SI, horvath k antonio-SI
larrain f hernan-SI, girardi l guido-SI, letelier m juan pablo-SI, orpis b jaime-SI, vila c nelson-SI, novoa v jovino-SI, flores l fernando-SI, prokurica p baldo-SI, vasquez u guillermo-SI, nuniez m ricardo-SI, sabag c hosain-SI, bianchi c carlos-SI, chadwick p andres-SI, horvath k antonio-SI, naranjo o jaime-SI, coloma c juan antonio-SI, gazmuri m jaime-SI, navarro b alejandro-SI
flores l fernando-SI, moreno r rafael-SI, frei r carmen-SI, valdes s gabriel-SI, arancibia r jorge-SI, novoa v jovino-SI, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, gazmuri m jaime-SI, ruiz d jose-SI, pizarro s jorge-SI, sabag c hosain-SI, paez v sergio-SI, ruiz-esquide j mariano-SI, frei r eduardo-SI, bombal o carlos -SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-SI, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, aburto o marcos-SI, boeninger k edgardo-SI, romero p sergio-SI, orpis b jaime-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI
munioz b roberto-SI, flores l fernando-SI, frei r carmen-SI, arancibia r jorge-SI, fernandez f sergio-SI, novoa v jovino-SI, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, ominami p carlos-SI, naranjo o jaime-SI, ruiz d jose-SI, zaldivar l andres-SI, sabag c hosain-SI, ruiz-esquide j mariano-SI, frei r eduardo-SI, chadwick p andres-SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-SI, vila c nelson-SI, parra m augusto-SI, silva c enrique-SI, martinez b jorge-SI, canessa r julio-SI, vega h ramon-SI, boeninger k edgardo-SI, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI
letelier m juan pablo-SI, orpis b jaime-SI, prokurica p baldo-SI, ominami p carlos-SI, perez v victor-SI, bianchi c carlos-SI, alvear v soledad-SI, novoa v jovino-NO, garcia r jose-SI, kuschel s carlos ignacio-SI, chadwick p andres-SI, frei r eduardo-SI, gomez u jose antonio-SI, gazmuri m jaime-SI, escalona m camilo-SI, cantero o carlos-SI, munioz a pedro-SI, sabag c hosain-SI, girardi l guido-SI, munioz b roberto-SI, vasquez u guillermo-SI, espina o alberto-SI, naranjo o jaime-SI, larrain f hernan-SI, allamand z andres-SI, ruiz-esquide j mariano-SI, romero p sergio-SI, horvath k antonio-SI, navarro b alejandro-SI, longueira m pablo-SI, vila c nelson-SI, pizarro s jorge-SI, coloma c juan antonio-SI, arancibia r jorge-SI, nuniez m ricardo-SI, flores l fernando-SI, matthei f evelyn-SI
girardi l guido-SI, vasquez u guillermo-NO, __-ABSTENCION, munioz b roberto-SI, gomez u jose antonio-NO, vila c nelson-NO, bianchi c carlos-NO, cantero o carlos-NO, arancibia r jorge-NO, larrain f hernan-SI, coloma c juan antonio-SI, novoa v jovino-NO, nuniez m ricardo-SI, gazmuri m jaime-SI, ominami p carlos-SI, pizarro s jorge-ABSTENCION, sabag c hosain-SI, zaldivar l adolfo-SI, prokurica p baldo-NO, horvath k antonio-NO, longueira m pablo-NO, chadwick p andres-NO, perez v victor-NO, matthei f evelyn-NO, letelier m juan pablo-SI, munioz a pedro-SI, allamand z andres-NO, romero p sergio-NO, __-SI, navarro b alejandro-SI
foxley r alejandro-SI, moreno r rafael-SI, frei r carmen-SI, valdes s gabriel-SI, arancibia r jorge-SI, fernandez f sergio-SI, ominami p carlos-SI, pizarro s jorge-SI, sabag c hosain-SI, ruiz-esquide j mariano-NO, frei r eduardo-SI, lavandero i jorge-SI, cariola b marco-SI, stange o rodolfo-SI, vila c nelson-SI, parra m augusto-SI, silva c enrique-SI, martinez b jorge-SI, canessa r julio-SI, zurita c enrique-SI, cordero r fernando-SI, aburto o marcos-SI, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, orpis b jaime-SI, coloma c juan antonio-SI, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI, munioz b roberto-SI, nuniez m ricardo-SI, ruiz d jose-SI, vega h ramon-SI, garcia r jose-SI
foxley r alejandro-SI, moreno r rafael-NO, frei r carmen-NO, valdes s gabriel-NO, arancibia r jorge-NO, fernandez f sergio-NO, gazmuri m jaime-SI, naranjo o jaime-SI, pizarro s jorge-SI, sabag c hosain-SI, ruiz-esquide j mariano-NO, frei r eduardo-NO, lavandero i jorge-SI, cariola b marco-NO, stange o rodolfo-NO, parra m augusto-NO, silva c enrique-SI, martinez b jorge-NO, canessa r julio-NO, zurita c enrique-SI, cordero r fernando-NO, aburto o marcos-ABSTENCION, boeninger k edgardo-SI, romero p sergio-NO, espina o alberto-SI, orpis b jaime-NO, coloma c juan antonio-NO, cantero o carlos-NO, prokurica p baldo-NO, horvath k antonio-NO, __-SI, ruiz d jose-SI, garcia r jose-SI, munioz b roberto-NO, nuniez m ricardo-NO, viera-gallo q jose antonio-NO, chadwick p andres-NO, vega h ramon-NO
foxley r alejandro-NO, moreno r rafael-SI, frei r carmen-NO, valdes s gabriel-NO, arancibia r jorge-SI, fernandez f sergio-SI, naranjo o jaime-SI, pizarro s jorge-SI, sabag c hosain-SI, frei r eduardo-SI, lavandero i jorge-ABSTENCION, bombal o carlos -NO, cariola b marco-NO, stange o rodolfo-NO, parra m augusto-NO, silva c enrique-SI, martinez b jorge-NO, canessa r julio-NO, zurita c enrique-NO, cordero r fernando-NO, aburto o marcos-NO, boeninger k edgardo-SI, romero p sergio-NO, espina o alberto-NO, orpis b jaime-NO, coloma c juan antonio-NO, cantero o carlos-NO, prokurica p baldo-NO, horvath k antonio-NO, __-NO, nuniez m ricardo-NO, chadwick p andres-NO, vega h ramon-NO, munioz b roberto-SI, viera-gallo q jose antonio-SI, ruiz d jose-SI, garcia r jose-ABSTENCION
flores l fernando-SI, frei r carmen-SI, valdes s gabriel-SI, arancibia r jorge-NO, fernandez f sergio-ABSTENCION, ominami p carlos-NO, naranjo o jaime-NO, sabag c hosain-SI, ruiz-esquide j mariano-ABSTENCION, frei r eduardo-SI, bombal o carlos -NO, cariola b marco-NO, matthei f evelyn-NO, stange o rodolfo-SI, vila c nelson-NO, parra m augusto-NO, silva c enrique-NO, martinez b jorge-SI, canessa r julio-SI, zurita c enrique-SI, cordero r fernando-SI, boeninger k edgardo-NO, romero p sergio-SI, espina o alberto-SI, orpis b jaime-SI, coloma c juan antonio-NO, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-SI, __-NO, munioz b roberto-SI, chadwick p andres-SI, nuniez m ricardo-NO, viera-gallo q jose antonio-NO, vega h ramon-ABSTENCION, garcia r jose-ABSTENCION
frei r carmen-SI, valdes s gabriel-SI, arancibia r jorge-SI, fernandez f sergio-ABSTENCION, gazmuri m jaime-SI, ominami p carlos-NO, naranjo o jaime-NO, pizarro s jorge-SI, sabag c hosain-SI, frei r eduardo-SI, lavandero i jorge-ABSTENCION, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-ABSTENCION, vila c nelson-NO, parra m augusto-NO, silva c enrique-SI, martinez b jorge-SI, canessa r julio-SI, zurita c enrique-SI, cordero r fernando-SI, boeninger k edgardo-SI, romero p sergio-NO, espina o alberto-NO, orpis b jaime-SI, coloma c juan antonio-NO, prokurica p baldo-SI, horvath k antonio-NO, __-ABSTENCION, nuniez m ricardo-ABSTENCION, viera-gallo q jose antonio-SI, chadwick p andres-SI, garcia r jose-SI
flores l fernando-NO, frei r carmen-NO, valdes s gabriel-NO, arancibia r jorge-SI, fernandez f sergio-ABSTENCION, gazmuri m jaime-NO, naranjo o jaime-NO, pizarro s jorge-NO, frei r eduardo-NO, cariola b marco-NO, matthei f evelyn-SI, stange o rodolfo-SI, parra m augusto-NO, martinez b jorge-SI, canessa r julio-SI, zurita c enrique-SI, cordero r fernando-NO, boeninger k edgardo-NO, orpis b jaime-SI, coloma c juan antonio-SI, cantero o carlos-NO, prokurica p baldo-SI, horvath k antonio-NO, __-NO, nuniez m ricardo-NO, viera-gallo q jose antonio-NO, garcia r jose-NO
flores l fernando-NO, valdes s gabriel-NO, arancibia r jorge-SI, fernandez f sergio-ABSTENCION, pizarro s jorge-NO, frei r eduardo-NO, cariola b marco-NO, matthei f evelyn-SI, stange o rodolfo-SI, parra m augusto-SI, martinez b jorge-NO, canessa r julio-NO, zurita c enrique-SI, cordero r fernando-NO, boeninger k edgardo-NO, espina o alberto-NO, orpis b jaime-SI, coloma c juan antonio-SI, cantero o carlos-NO, prokurica p baldo-NO, horvath k antonio-NO, __-SI, nuniez m ricardo-NO, viera-gallo q jose antonio-NO, garcia r jose-NO
__-SI, foxley r alejandro-SI, moreno r rafael-SI, frei r carmen-SI, valdes s gabriel-SI, zaldivar l adolfo-SI, novoa v jovino-ABSTENCION, ominami p carlos-SI, sabag c hosain-SI, frei r eduardo-SI, bombal o carlos -SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-NO, vila c nelson-SI, parra m augusto-SI, silva c enrique-SI, canessa r julio-SI, zurita c enrique-NO, cordero r fernando-NO, boeninger k edgardo-SI, espina o alberto-SI, orpis b jaime-SI, coloma c juan antonio-NO, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, vega h ramon-SI, garcia r jose-SI, zaldivar l andres-SI, ruiz d jose-ABSTENCION
foxley r alejandro-NO, moreno r rafael-NO, frei r carmen-SI, valdes s gabriel-NO, zaldivar l adolfo-SI, arancibia r jorge-SI, novoa v jovino-ABSTENCION, gazmuri m jaime-SI, ominami p carlos-SI, naranjo o jaime-SI, pizarro s jorge-SI, sabag c hosain-SI, frei r eduardo-SI, bombal o carlos -SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-SI, vila c nelson-SI, parra m augusto-NO, silva c enrique-NO, canessa r julio-SI, zurita c enrique-SI, cordero r fernando-SI, boeninger k edgardo-SI, romero p sergio-ABSTENCION, espina o alberto-SI, orpis b jaime-SI, coloma c juan antonio-NO, cantero o carlos-NO, prokurica p baldo-NO, horvath k antonio-SI, __-NO, viera-gallo q jose antonio-SI, zaldivar l andres-SI, chadwick p andres-SI, vega h ramon-SI, garcia r jose-SI
flores l fernando-SI, foxley r alejandro-SI, frei r carmen-SI, valdes s gabriel-NO, arancibia r jorge-SI, novoa v jovino-ABSTENCION, gazmuri m jaime-SI, naranjo o jaime-SI, pizarro s jorge-SI, sabag c hosain-SI, frei r eduardo-SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-SI, parra m augusto-SI, silva c enrique-SI, canessa r julio-SI, zurita c enrique-SI, cordero r fernando-SI, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, orpis b jaime-SI, coloma c juan antonio-SI, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI, viera-gallo q jose antonio-SI, nuniez m ricardo-SI, zaldivar l andres-SI, chadwick p andres-SI, vega h ramon-SI, garcia r jose-SI, ruiz d jose-ABSTENCION
flores l fernando-SI, frei r carmen-SI, valdes s gabriel-SI, arancibia r jorge-SI, novoa v jovino-ABSTENCION, gazmuri m jaime-SI, naranjo o jaime-SI, pizarro s jorge-ABSTENCION, sabag c hosain-NO, frei r eduardo-SI, bombal o carlos -SI, matthei f evelyn-ABSTENCION, vila c nelson-ABSTENCION, parra m augusto-NO, silva c enrique-NO, canessa r julio-SI, zurita c enrique-SI, cordero r fernando-SI, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, orpis b jaime-SI, coloma c juan antonio-NO, prokurica p baldo-SI, horvath k antonio-SI, __-SI, munioz b roberto-SI, viera-gallo q jose antonio-SI, zaldivar l andres-SI, chadwick p andres-SI, vega h ramon-SI, garcia r jose-SI, nuniez m ricardo-NO, ruiz d jose-ABSTENCION
__-SI, flores l fernando-SI, moreno r rafael-SI, frei r carmen-SI, arancibia r jorge-NO, fernandez f sergio-NO, novoa v jovino-NO, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, ominami p carlos-SI, ruiz d jose-SI, pizarro s jorge-NO, zaldivar l andres-SI, sabag c hosain-SI, ruiz-esquide j mariano-NO, bombal o carlos -SI, chadwick p andres-SI, cariola b marco-SI, parra m augusto-SI, silva c enrique-SI, martinez b jorge-NO, canessa r julio-NO, vega h ramon-NO, zurita c enrique-NO, cordero r fernando-NO, aburto o marcos-SI, boeninger k edgardo-SI, romero p sergio-NO, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, coloma c juan antonio-NO, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-NO, __-NO
munioz b roberto-SI, flores l fernando-SI, moreno r rafael-SI, frei r carmen-SI, valdes s gabriel-SI, fernandez f sergio-NO, nuniez m ricardo-SI, ominami p carlos-SI, naranjo o jaime-SI, ruiz d jose-ABSTENCION, zaldivar l andres-SI, sabag c hosain-SI, paez v sergio-SI, bombal o carlos -SI, chadwick p andres-SI, cariola b marco-SI, matthei f evelyn-SI, stange o rodolfo-SI, vila c nelson-SI, parra m augusto-SI, silva c enrique-SI, martinez b jorge-SI, canessa r julio-ABSTENCION, vega h ramon-NO, zurita c enrique-SI, cordero r fernando-NO, boeninger k edgardo-SI, romero p sergio-SI, garcia r jose-SI, coloma c juan antonio-NO, rios s mario-ABSTENCION, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-NO, __-NO
munioz b roberto-SI, flores l fernando-SI, moreno r rafael-SI, frei r carmen-SI, valdes s gabriel-SI, fernandez f sergio-ABSTENCION, nuniez m ricardo-SI, ominami p carlos-SI, naranjo o jaime-SI, ruiz d jose-SI, zaldivar l andres-SI, sabag c hosain-SI, paez v sergio-SI, bombal o carlos -SI, chadwick p andres-SI, cariola b marco-SI, stange o rodolfo-SI, vila c nelson-SI, parra m augusto-SI, silva c enrique-SI, martinez b jorge-NO, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, boeninger k edgardo-SI, romero p sergio-SI, garcia r jose-SI, orpis b jaime-SI, coloma c juan antonio-SI, rios s mario-NO, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI
